epoch train_acc1 train_acc2 test_acc1 test_acc2
0 0 0 9.154647435897436 10.076121794871796
1 10.751201923076923 None 24.469150641025642 10.076121794871796
2 14.755608974358974 None 33.15304487179487 10.076121794871796
3 16.692708333333332 None 34.14463141025641 10.076121794871796
4 17.822516025641026 None 39.20272435897436 10.076121794871796
5 18.551682692307693 None 41.59655448717949 10.076121794871796
6 19.22676282051282 None 42.497996794871796 10.076121794871796
7 19.76161858974359 None 43.54967948717949 10.076121794871796
8 20.272435897435898 None 44.20072115384615 10.076121794871796
9 20.923477564102566 None 45.232371794871796 10.076121794871796
10 21.213942307692307 None 42.9286858974359 10.076121794871796
11 21.546474358974358 None 46.955128205128204 10.076121794871796
12 22.111378205128204 None 45.442708333333336 10.076121794871796
13 22.361778846153847 None 44.94190705128205 10.076121794871796
14 22.830528846153847 None 46.11378205128205 10.076121794871796
15 23.09294871794872 None 44.821714743589745 10.076121794871796
16 23.565705128205128 None 45.79326923076923 10.076121794871796
17 23.856169871794872 None 46.193910256410255 10.076121794871796
18 24.16065705128205 None 44.38100961538461 10.076121794871796
19 24.561298076923077 None 44.841746794871796 10.076121794871796
20 25.02403846153846 None 43.02884615384615 10.076121794871796
21 25.568910256410255 None 42.55809294871795 10.076121794871796
22 25.935496794871796 None 42.658253205128204 10.076121794871796
23 26.221955128205128 None 43.078926282051285 10.076121794871796
