epoch train_acc1 train_acc2 test_acc1 test_acc2
0 0 0 9.154647435897436 10.076121794871796
1 14.473157051282051 None 28.525641025641026 10.076121794871796
2 21.029647435897434 None 39.142628205128204 10.076121794871796
3 23.54767628205128 None 40.05408653846154 10.076121794871796
4 24.747596153846153 None 43.7900641025641 10.076121794871796
5 25.424679487179485 None 45.232371794871796 10.076121794871796
6 26.456330128205128 None 44.80168269230769 10.076121794871796
7 27.037259615384617 None 47.31570512820513 10.076121794871796
8 27.66826923076923 None 48.06690705128205 10.076121794871796
9 28.33533653846154 None 49.00841346153846 10.076121794871796
10 28.834134615384617 None 47.59615384615385 10.076121794871796
11 29.22275641025641 None 49.76963141025641 10.076121794871796
12 29.905849358974358 None 50.520833333333336 10.076121794871796
13 30.192307692307693 None 50.34054487179487 10.076121794871796
14 30.9375 None 50.100160256410255 10.076121794871796
15 31.266025641025642 None 50.4306891025641 10.076121794871796
16 31.55448717948718 None 50.53084935897436 10.076121794871796
17 31.955128205128204 None 50.53084935897436 10.076121794871796
18 32.16746794871795 None 50.20032051282051 10.076121794871796
19 32.688301282051285 None 50.09014423076923 10.076121794871796
20 32.90064102564103 None 51.22195512820513 10.076121794871796
21 33.235176282051285 None 51.50240384615385 10.076121794871796
22 33.51963141025641 None 50.06009615384615 10.076121794871796
23 33.962339743589745 None 50.0 10.076121794871796
24 34.30088141025641 None 50.280448717948715 10.076121794871796
25 34.43509615384615 None 50.01001602564103 10.076121794871796
26 34.74559294871795 None 49.48918269230769 10.076121794871796
27 34.919871794871796 None 48.85817307692308 10.076121794871796
28 35.208333333333336 None 49.36899038461539 10.076121794871796
29 35.500801282051285 None 49.62940705128205 10.076121794871796
30 35.63902243589744 None 49.04847756410256 10.076121794871796
31 35.96153846153846 None 48.21714743589744 10.076121794871796
32 36.05969551282051 None 48.908253205128204 10.076121794871796
33 36.45432692307692 None 48.4375 10.076121794871796
34 36.6786858974359 None 47.77644230769231 10.076121794871796
35 36.94110576923077 None 48.07692307692308 10.076121794871796
