epoch train_acc1 train_acc2 test_acc1 test_acc2
0 0 0 8.243189102564102 9.12459935897436
1 38.18442841880342 38.14436431623932 73.7880608974359 72.37580128205128
2 40.968883547008545 40.64002403846154 79.78766025641026 84.15464743589743
3 41.30775908119658 41.58153044871795 77.11338141025641 85.35657051282051
4 41.833600427350426 41.960470085470085 83.43349358974359 89.82371794871794
5 42.71334134615385 42.51469017094017 78.515625 90.22435897435898
6 42.85022702991453 43.09061164529915 83.91426282051282 92.67828525641026
7 43.1507077991453 43.10062767094017 83.60376602564102 84.90584935897436
8 43.45786591880342 43.371060363247864 85.25641025641026 93.0488782051282
9 43.43449519230769 43.58306623931624 85.37660256410257 93.61979166666667
10 43.636485042735046 43.753338675213676 85.56690705128206 93.06891025641026
11 43.982037927350426 44.177350427350426 85.0360576923077 93.7900641025641
12 44.073851495726494 44.03712606837607 85.37660256410257 93.05889423076923
13 44.140625 44.162326388888886 85.92748397435898 94.4911858974359
14 44.314236111111114 44.35930822649573 86.21794871794872 94.85176282051282
15 44.47282318376068 44.46948450854701 86.17788461538461 94.921875
16 44.46113782051282 44.464476495726494 86.25801282051282 94.11057692307692
17 44.61805555555556 44.63975694444444 86.34815705128206 94.60136217948718
18 44.63975694444444 44.65478098290598 86.77884615384616 94.97195512820512
19 44.74492521367522 44.77497329059829 86.82892628205128 95.703125
20 44.74158653846154 44.78498931623932 86.58854166666667 95.50280448717949
21 44.89349626068376 44.925213675213676 86.86899038461539 95.7431891025641
22 44.953592414529915 44.9352297008547 86.77884615384616 95.6229967948718
23 44.99532585470085 44.93689903846154 86.60857371794872 95.65304487179488
24 45.03872863247863 45.0237045940171 86.62860576923077 95.86338141025641
25 45.04874465811966 45.05709134615385 86.90905448717949 95.33253205128206
26 45.16059027777778 45.148904914529915 87.12940705128206 95.87339743589743
27 45.163928952991455 45.18896901709402 87.01923076923077 96.23397435897436
28 45.20399305555556 45.23904914529915 86.89903846153847 95.90344551282051
29 45.31917735042735 45.37092681623932 86.88902243589743 96.02363782051282
30 45.280782585470085 45.30415331196581 87.2295673076923 95.95352564102564
31 45.37259615384615 45.34588675213675 87.04927884615384 96.14383012820512
32 45.441038995726494 45.324185363247864 87.28966346153847 96.51442307692308
33 45.44437767094017 45.32084668803419 87.01923076923077 96.1338141025641
34 45.45773237179487 45.4143295940171 87.0693108974359 96.2139423076923
35 45.44771634615385 45.51615918803419 87.17948717948718 96.46434294871794
36 45.544537927350426 45.46440972222222 87.01923076923077 96.32411858974359
37 45.592948717948715 45.539529914529915 87.1895032051282 96.14383012820512
38 45.57124732905983 45.47275641025641 87.13942307692308 96.4042467948718
39 45.62633547008547 45.572916666666664 87.1895032051282 96.63461538461539
40 45.64302884615385 45.57124732905983 87.1494391025641 96.15384615384616
41 45.719818376068375 45.58293269230769 87.23958333333333 96.31410256410257
42 45.74485844017094 45.68476228632478 87.17948717948718 96.19391025641026
43 45.69811698717949 45.749866452991455 86.9891826923077 96.61458333333333
44 45.67307692307692 45.68476228632478 87.05929487179488 96.5645032051282
45 45.80662393162393 45.71147168803419 87.44991987179488 96.24399038461539
46 45.7966079059829 45.681423611111114 87.33974358974359 96.31410256410257
47 45.82999465811966 45.78993055555556 87.29967948717949 96.37419871794872
48 45.88842147435897 45.82164797008547 87.1494391025641 96.5244391025641
49 45.896768162393165 45.80829326923077 87.00921474358974 96.06370192307692
