epoch train_acc1 train_acc2 test_acc1 test_acc2
0 0 0 8.243189102564102 9.12459935897436
1 11.994190705128204 11.95579594017094 42.32772435897436 47.546073717948715
2 13.117654914529915 13.077590811965813 20.743189102564102 28.05488782051282
3 13.438167735042734 13.938969017094017 51.62259615384615 54.48717948717949
4 14.077524038461538 14.090878739316238 49.2588141025641 55.99959935897436
5 14.386351495726496 14.491519764957266 55.32852564102564 60.55689102564103
6 15.067441239316238 15.00400641025641 58.04286858974359 67.03725961538461
7 14.995659722222221 15.095819978632479 56.32011217948718 66.1358173076923
8 15.090811965811966 15.075787927350428 53.515625 63.181089743589745
9 15.53485576923077 15.529847756410257 59.88581730769231 60.77724358974359
10 15.71514423076923 15.66005608974359 61.83894230769231 70.4326923076923
11 15.753538995726496 15.89710202991453 58.65384615384615 67.70833333333333
12 15.958867521367521 16.013955662393162 62.0693108974359 70.79326923076923
13 15.985576923076923 16.065705128205128 62.37980769230769 71.42427884615384
14 15.930488782051283 16.02230235042735 62.03926282051282 69.40104166666667
15 16.129139957264957 16.220953525641026 63.51161858974359 72.265625
16 16.277711004273506 16.235977564102566 62.0693108974359 71.50440705128206
17 16.214276175213676 16.302751068376068 61.86899038461539 71.42427884615384
18 16.22596153846154 16.242654914529915 64.03245192307692 71.38421474358974
19 16.25267094017094 16.214276175213676 62.29967948717949 70.22235576923077
20 16.319444444444443 16.307759081196583 63.020833333333336 71.49439102564102
21 16.332799145299145 16.36284722222222 63.33133012820513 72.28565705128206
22 16.356169871794872 16.372863247863247 63.94230769230769 72.5360576923077
23 16.419604700854702 16.499732905982906 64.13261217948718 73.02684294871794
24 16.442975427350426 16.49639423076923 63.82211538461539 72.85657051282051
25 16.3795405982906 16.47469284188034 63.541666666666664 72.75641025641026
26 16.51141826923077 16.503071581196583 63.46153846153846 72.19551282051282
27 16.397903311965813 16.437967414529915 63.35136217948718 72.56610576923077
28 16.411258012820515 16.504740918803417 63.84214743589744 72.52604166666667
29 16.596554487179485 16.614917200854702 63.61177884615385 72.99679487179488
30 16.599893162393162 16.56650641025641 63.94230769230769 72.82652243589743
31 16.66499732905983 16.738448183760685 63.91225961538461 72.6963141025641
32 16.70673076923077 16.64997329059829 63.802083333333336 73.01682692307692
33 16.69003739316239 16.668336004273506 63.982371794871796 72.97676282051282
34 16.67167467948718 16.800213675213676 63.72195512820513 73.06690705128206
35 16.73344017094017 16.76181891025641 63.73197115384615 72.5360576923077
36 16.743456196581196 16.82525373931624 64.05248397435898 73.07692307692308
37 16.796875 16.745125534188034 63.72195512820513 72.9667467948718
38 16.871995192307693 16.846955128205128 64.0625 73.24719551282051
39 16.75347222222222 16.773504273504273 63.671875 69.44110576923077
40 16.83193108974359 16.78185096153846 63.932291666666664 72.42588141025641
41 16.856971153846153 16.830261752136753 64.12259615384616 73.19711538461539
42 16.890357905982906 16.952123397435898 63.61177884615385 72.87660256410257
43 16.78185096153846 16.870325854700855 64.05248397435898 72.99679487179488
44 16.942107371794872 16.982171474358974 63.44150641025641 72.23557692307692
45 16.942107371794872 17.032251602564102 63.88221153846154 73.21714743589743
46 16.980502136752136 16.99886485042735 63.86217948717949 73.11698717948718
47 16.98551014957265 17.043936965811966 63.52163461538461 72.25560897435898
48 17.032251602564102 16.980502136752136 63.83213141025641 72.83653846153847
49 17.107371794871796 17.085670405982906 63.86217948717949 72.52604166666667
