epoch train_acc1 train_acc2 test_acc1 test_acc2
0 0 0 8.243189102564102 9.12459935897436
1 52.55408653846154 51.80288461538461 80.66907051282051 86.2479967948718
2 56.30508814102564 56.017962072649574 78.73597756410257 85.96754807692308
3 56.56383547008547 56.78084935897436 82.35176282051282 91.60657051282051
4 58.658854166666664 58.39176014957265 84.6854967948718 92.38782051282051
5 58.04954594017094 58.66720085470085 83.49358974358974 89.19270833333333
6 59.147970085470085 59.216412927350426 81.5204326923077 89.67347756410257
7 59.85409989316239 59.91085737179487 85.12620192307692 94.05048076923077
8 60.30982905982906 60.18462873931624 84.52524038461539 93.86017628205128
9 60.65371260683761 60.38161057692308 86.0176282051282 94.50120192307692
10 60.85069444444444 60.837339743589745 85.28645833333333 95.06209935897436
11 61.04934561965812 60.964209401709404 86.26802884615384 95.0020032051282
12 61.22462606837607 61.29306891025641 86.27804487179488 95.02203525641026
13 61.476696047008545 61.36151175213675 86.58854166666667 95.6630608974359
14 61.47502670940171 61.41993856837607 87.07932692307692 95.61298076923077
15 61.59188034188034 61.53178418803419 86.73878205128206 95.99358974358974
16 61.6786858974359 61.64362980769231 86.55849358974359 95.15224358974359
17 61.750467414529915 61.76883012820513 87.33974358974359 96.1738782051282
18 61.84561965811966 61.89403044871795 86.91907051282051 95.7832532051282
19 61.9541266025641 61.979166666666664 87.15945512820512 96.49439102564102
20 61.98584401709402 62.04760950854701 87.3798076923077 96.23397435897436
21 62.057625534188034 62.12940705128205 87.17948717948718 96.5244391025641
22 62.097689636752136 62.14443108974359 87.15945512820512 96.25400641025641
23 62.19284188034188 62.16446314102564 87.09935897435898 96.31410256410257
24 62.282986111111114 62.282986111111114 87.23958333333333 96.7548076923077
25 62.27964743589744 62.13775373931624 87.109375 96.1738782051282
26 62.371461004273506 62.37980769230769 87.33974358974359 96.54447115384616
27 62.37980769230769 62.389823717948715 87.09935897435898 96.80488782051282
28 62.32471955128205 62.40150908119658 87.4599358974359 96.74479166666667
29 62.5 62.53004807692308 87.09935897435898 96.58453525641026
30 62.54507211538461 62.48497596153846 87.59014423076923 96.96514423076923
31 62.55008012820513 62.56844284188034 87.51001602564102 96.49439102564102
32 62.5934829059829 62.57512019230769 87.39983974358974 96.54447115384616
33 62.62353098290598 62.59849091880342 87.73036858974359 96.5645032051282
34 62.678619123931625 62.6953125 86.38822115384616 96.29407051282051
35 62.67528044871795 62.63187767094017 87.57011217948718 96.74479166666667
36 62.72869925213675 62.67528044871795 87.17948717948718 96.22395833333333
37 62.70198985042735 62.77377136752137 87.01923076923077 96.65464743589743
38 62.75540865384615 62.77877938034188 87.65024038461539 97.02524038461539
39 62.82218215811966 62.84889155982906 87.73036858974359 97.12540064102564
40 62.825520833333336 62.83052884615385 87.5 96.90504807692308
41 62.84722222222222 62.8372061965812 86.9891826923077 96.45432692307692
42 62.843883547008545 62.89730235042735 87.88060897435898 97.15544871794872
43 62.88561698717949 62.873931623931625 87.0292467948718 96.84495192307692
44 62.88227831196581 62.970753205128204 87.57011217948718 96.58453525641026
45 62.92401175213675 62.98076923076923 87.59014423076923 96.51442307692308
46 62.9841079059829 62.912326388888886 87.64022435897436 96.42427884615384
47 62.97409188034188 63.02417200854701 87.72035256410257 96.88501602564102
48 63.00747863247863 63.04086538461539 87.8505608974359 96.82491987179488
49 63.005809294871796 63.020833333333336 86.95913461538461 96.84495192307692
